File,Page,Text,Notes,Images
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,1,"State, Local, and Education (SLED) Overview
Mukundan Srinivasan
Peter L. Levin
February 2025
",,['amida sled overview -feb 24 2025 p1 1.jpeg']
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,2,"2
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Mission
Amida is a software services company that solves the most difficult problems 
in data interoperability, reconciliation, security, and governance. We create 
and manage data infrastructure platforms that enable the reliable use of 
sensitive information.
Introduction >
",,"['amida sled overview -feb 24 2025 p2 1.png', 'amida sled overview -feb 24 2025 p2 2.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,3,"3
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
State Market Trends and Challenges
Across the State health IT ecosystem, there is a clear focus on cost containment, improved data access, and enhanced quality of care. This includes 
a shift toward value-based care models, the expansion of Medicaid coverage, addressing social determinants of health to improve healthcare access 
and equity, investments in public health data infrastructure, the establishment of data governance frameworks, and improved data interoperability.
Key trends in the State sector:
•
CMS compliance mandates – States must comply with 
the Interoperability and Patient Access (9115-F) and 
Interoperability and Prior Authorization (0057-F) Final 
Rules by January 1, 2027
•
Healthcare reforms – Policies emphasize choice, 
expanded access to care, and cost reduction, including 
initiatives such as price transparency and value-based 
care (e.g., AFPI white papers, Make America Healthy 
Again initiative)
•
Advancement of digital health and interoperability –
Efforts focus on improving quality of care through 
disease surveillance, outbreak response, and enhanced 
data-sharing (e.g., TEFCA Initiative – ONC)
•
IT modernization – Investment in modern, modular, 
cloud-based systems drives public health data 
infrastructure improvements (e.g., HIMSS Public Health 
Information and Technology Infrastructure 
Modernization Initiative, CDC Data Modernization 
Initiative)
•
Federal assistance program spending pause – On 
January 27, 2025, the Office of Management and Budget 
(OMB) issued a memo pausing all federal assistance 
program spending (inclusive of grants to states), except 
for direct financial assistance initiatives (e.g., Social 
Security, Medicare, FEMA individual assistance)
•
State agencies require the ability to improve or re-
engineer manual, time-intensive processes through the 
incorporation of Artificial Intelligence (AI), ML, data 
mining, Robotic Process Automation (RPA), and 
automation capabilities to increase operational and 
oversight efficiencies
•
State health agencies must implement data standards 
(e.g., FHIR, HL7) to achieve federal interoperability 
requirements, enhance quality of care services (and the 
overall patient experience), optimize data aggregation 
and analysis across populations, and better-address 
health disparities
•
As states transition to a Medicaid Managed Care model, 
they require visibility into claim-related encounters 
transferred between providers and health plans, to 
better understand how Managed Care Organizations 
process and adjudicate claims and to ensure accurate 
and efficient provider reimbursement
•
To modernize legacy IT environments, states can no 
longer afford to modify existing monolithic systems and 
are shifting to best-of-breed modular solutions that can 
be implemented and integrated cost-effectively 
•
Grant program efficiency may be impacted by a potential 
funding pause due to the OMB memo
•
Data silos and fragmentation limit interoperability, 
preventing a comprehensive view of patient profiles, 
trend analysis, and quality/cost assessment
•
Redundant, incomplete, and poor-quality data sets hinder 
access to accurate, data-driven healthcare insights
•
A lack of data standards, interoperability issues, and 
incomplete patient records across state systems 
contribute to inefficiencies, increased costs, and risks to 
patient safety
•
The legacy Medicaid Management Information System 
(MMIS) and outdated systems prevent effective analysis 
of complex data sets, limiting the insights needed to 
improve care quality and operational efficiency
•
An absence of data governance frameworks leads to 
inconsistent data management practices, security risks, 
and challenges in meeting data privacy regulations (e.g., 
HIPAA, CMS)
Industry Trends
Government Needs
Agency Challenges
Introduction >
",,"['amida sled overview -feb 24 2025 p3 1.png', 'amida sled overview -feb 24 2025 p3 2.png', 'amida sled overview -feb 24 2025 p3 3.jpeg']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,4,"4
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Amida’s Capabilities in a Nutshell
Sources
adapters
data reconciliation, 
integrity, validation, 
and transformation
applications 
Destinations
010110110111
101000100101
010011001110
110100100111
speed
semicon 
device
dB
𝘵
• legacy platforms
• new data services
• advanced analytics
• business intelligence
Introduction >
",,"['amida sled overview -feb 24 2025 p4 1.png', 'amida sled overview -feb 24 2025 p4 2.png', 'amida sled overview -feb 24 2025 p4 3.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,5,"5
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
We Help State Government Improve Services to Citizens
Our solutions provide:
•
Complete state government compliance with CMS 
interoperability mandates via secure, FHIR-based APIs
•
95% improvement in data quality needed for Medicaid rates 
setting 
•
Streamlined data-format conversion, minimizing time, effort, 
and costs while preventing data loss and errors caused by 
manual interventions
•
Statistically validated synthetic patient data sets that do not 
require elaborate HIPAA protections or consent tracking 
needed for clinical training in today’s digital environment 
•
Rapid access to health information that supports patient risk 
management, enhanced care, lower costs, and improved 
health outcomes
Introduction >
",,"['amida sled overview -feb 24 2025 p5 1.png', 'amida sled overview -feb 24 2025 p5 2.jpeg']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,6,"Data Management 
Solutions
",,['amida sled overview -feb 24 2025 p6 1.jpeg']
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,7,"7
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Data Management Overview
Data Management Solutions >
We solve the most difficult problems in data interoperability, reconciliation, 
security, and governance. 
•
Organizations are 
wrestling with data 
ingestion from multiple 
sources; formats are 
incompatible and 
structures do not match
•
Even when data is 
ingested into an 
enterprise repository, 
finding it later is 
expensive and error prone
•
Even when data is found, 
its quality is dubious and 
often untrustworthy
•
Create an automated and extensible framework that 
validates rules at each step in the ingestion process 
•
Implement a data catalog and associated processes to 
capture data element definitions and business glossary 
terms
•
Implement a data quality tool to facilitate the near real-
time reporting of data quality issues
•
Build an operational model that enforces enterprise data 
governance
•
Create a complete and comprehensive data ontology for 
core processing systems, including: data model libraries, 
process transformations, valid-value assertions, and 
auditable traces through exchange points
Problem
Our Approach
Impacts
•
Implementing a data 
validation overlay and 
closely monitoring the data 
integration process enables 
swift identification and 
early remediation of data 
quality and integrity issues, 
improves compliance, 
detects errors, and 
mitigates contamination
•
Automated data quality 
checks optimize the internal 
utility and external 
exchange of validated, 
verified, and trusted data
",,"['amida sled overview -feb 24 2025 p7 1.png', 'amida sled overview -feb 24 2025 p7 2.png', 'amida sled overview -feb 24 2025 p7 3.jpeg', 'amida sled overview -feb 24 2025 p7 4.png', 'amida sled overview -feb 24 2025 p7 5.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,8,"8
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Our Data Management Approach
We build openly architected solutions based on commercial products and open-source components that collect and prepare data 
from a variety of sources – independent of structure, format, provenance, and schema – to support business intelligence, 
predictive analytics, and downstream transactions.
Data Management Solutions >
",,"['amida sled overview -feb 24 2025 p8 1.png', 'amida sled overview -feb 24 2025 p8 2.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,9,"9
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Electronic medical record (EMR) systems from different vendors (e.g., Epic and Cerner) do not use automated methods to share data. Amida 
has experience helping clients – such as UPMC, HCSC, Perspecta, and Availity – to normalize, translate, and harmonize health data. 
Reconciliation of data at the atomic level enables clients to meet industry standards and best practices, enhance workflow efficiency, and 
improve clinical care outcomes.
Atomic Data Reconciliation
Data Management Solutions  >
EMR systems have allergens and 
reactions encoded in different 
ontologies.
A single EMR may contain an 
incomplete record of the patient’s 
active allergies.
Multum, SNOMED, RxNorm, NDF-
RT, UNII, custom codes, free text
Epic has an active bee venom 
allergy for a given patient, but 
Cerner indicates NKA.
Terminology Translation
•
Integrates with Clinical 
Architecture’s Symedical
•
Medication allergens are mapped 
to RxNorm
•
Food, environmental factors, 
classes, and reactions are mapped 
to SNOMED CT
Problem
Example
Amida’s
Solution
Data Harmonization
•
Applies business rules to reconcile 
all records for a given patient 
•
Outputs the steps needed to 
update each EMR system to 
reflect the harmonized patient 
record
EMR systems use different data 
labeling and formatting.
Epic uses a single field to indicate an 
active allergy, while Cerner uses 
two different fields.
Data Normalization
•
Parses input EMR records
•
Performs data cleansing
•
Normalizes data to the Fast 
Healthcare Interoperability 
Resources (FHIR) specification
1
2
3
",,"['amida sled overview -feb 24 2025 p9 1.png', 'amida sled overview -feb 24 2025 p9 2.png', 'amida sled overview -feb 24 2025 p9 3.png', 'amida sled overview -feb 24 2025 p9 4.png', 'amida sled overview -feb 24 2025 p9 5.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,10,"10
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
NCDHHS: Medicaid Connect – API Development and Implementation
State, 2024–Present
Problem
Over 100 million Americans with digital health records cannot access or share medical 
information across healthcare systems. To address this fragmentation, CMS mandated that 
state Medicaid agencies implement APIs for secure electronic exchange of healthcare data 
between patients, caretakers, providers, and payers.
Our Approach
Amida, in partnership with MedicaSoft and LexisNexis, is building a comprehensive 
Medicaid Connect platform for NCDHHS that includes:
•
Patient Access and Payer-to-Payer APIs built on MedicaSoft's HITRUST-certified 
NXT Platform
•
Remote identity verification through LexisNexis integration
•
A Provider Directory API that enables beneficiaries to search for caregivers using their 
preferred third-party applications
Impact
The Medicaid Connect platform will directly address healthcare data fragmentation through:
•
Access to seventeen FHIR resources with claims and medical data for 1.1 million NC 
Medicaid Direct beneficiaries
•
Provider Directory access for all 10.8 million North Carolina residents
•
Complete NCDHHS compliance with CMS interoperability mandates via secure, FHIR-
based APIs without the need for direct NCDHHS personnel interaction
Amida leveraged our expertise in health data 
interoperability to extract data from NCDHHS 
systems and convert it into FHIR-compliant 
resources. Through Medicaid Connect, North 
Carolina Medicaid beneficiaries will gain secure 
online access to their health data.
Data Management Solutions >
",,"['amida sled overview -feb 24 2025 p10 1.png', 'amida sled overview -feb 24 2025 p10 2.png', 'amida sled overview -feb 24 2025 p10 3.jpeg']"
